# NODES COORDINATES # 
320 
0.580467 -0.286211 -0.762327
0.176888 -0.939215 -0.294256
0.286211 0.762327 -0.580467
0.176888 0.939215 0.294256
0.580467 0.286211 0.762327
0.000000 -0.653004 -0.757355
0.294256 0.176888 -0.939215
0.000000 0.653004 0.757355
0.294256 -0.176888 0.939215
-0.885187 0.159858 -0.436909
-0.448278 -0.547076 -0.706934
-0.885187 0.159858 0.436909
-0.178253 -0.983985 0.000000
-0.448278 -0.547076 0.706934
-0.448278 0.547076 0.706934
-0.448278 0.547076 -0.706934
-0.178253 0.983985 0.000000
0.885187 0.159858 0.436909
0.885187 0.159858 -0.436909
0.448278 -0.547076 0.706934
0.448278 -0.547076 -0.706934
0.178253 -0.983985 0.000000
0.448278 0.547076 -0.706934
0.178253 0.983985 0.000000
0.448278 0.547076 0.706934
0.159858 -0.436909 -0.885187
0.159858 0.436909 -0.885187
0.159858 0.436909 0.885187
0.159858 -0.436909 0.885187
-0.904684 -0.416921 -0.087887
-0.816797 -0.559125 -0.142204
-0.904684 -0.416921 0.087887
-0.762480 -0.647012 0.000000
-0.816797 -0.559125 0.142204
-0.816797 0.559125 0.142204
-0.816797 0.559125 -0.142204
-0.762480 0.647012 0.000000
0.904684 -0.416921 0.087887
0.904684 -0.416921 -0.087887
0.816797 -0.559125 0.142204
0.816797 -0.559125 -0.142204
0.762480 -0.647012 0.000000
0.816797 0.559125 -0.142204
0.762480 0.647012 0.000000
0.816797 0.559125 0.142204
-0.416921 -0.087887 -0.904684
-0.416921 0.087887 -0.904684
-0.416921 0.087887 0.904684
-0.416921 -0.087887 0.904684
-0.904684 0.416921 -0.087887
-0.559125 -0.142204 -0.816797
-0.647012 0.000000 0.762480
-0.087887 -0.904684 -0.416921
-0.142204 -0.816797 0.559125
-0.559125 0.142204 0.816797
-0.142204 0.816797 -0.559125
-0.087887 0.904684 0.416921
0.904684 0.416921 0.087887
0.647012 0.000000 -0.762480
0.559125 -0.142204 0.816797
0.142204 -0.816797 -0.559125
0.087887 -0.904684 0.416921
0.559125 0.142204 -0.816797
0.087887 0.904684 -0.416921
0.142204 0.816797 0.559125
0.416921 -0.087887 -0.904684
0.000000 0.762480 -0.647012
0.416921 0.087887 0.904684
0.000000 -0.762480 0.647012
-0.647012 0.000000 -0.762480
-0.142204 -0.816797 -0.559125
-0.904684 0.416921 0.087887
-0.087887 -0.904684 0.416921
-0.559125 -0.142204 0.816797
-0.142204 0.816797 0.559125
-0.559125 0.142204 -0.816797
-0.087887 0.904684 -0.416921
0.647012 0.000000 0.762480
0.904684 0.416921 -0.087887
0.142204 -0.816797 0.559125
0.559125 -0.142204 -0.816797
0.087887 -0.904684 -0.416921
0.142204 0.816797 -0.559125
0.087887 0.904684 0.416921
0.559125 0.142204 0.816797
0.000000 -0.762480 -0.647012
0.416921 0.087887 -0.904684
0.000000 0.762480 0.647012
0.416921 -0.087887 0.904684
-0.885187 -0.159858 -0.436909
-0.547076 -0.706934 -0.448278
-0.983985 0.000000 0.178253
-0.436909 -0.885187 0.159858
-0.706934 -0.448278 0.547076
-0.547076 0.706934 0.448278
-0.706934 0.448278 -0.547076
-0.436909 0.885187 -0.159858
0.885187 -0.159858 0.436909
0.983985 0.000000 -0.178253
0.547076 -0.706934 0.448278
0.706934 -0.448278 -0.547076
0.436909 -0.885187 -0.159858
0.547076 0.706934 -0.448278
0.436909 0.885187 0.159858
0.706934 0.448278 0.547076
-0.159858 -0.436909 -0.885187
0.000000 0.178253 -0.983985
-0.159858 0.436909 0.885187
0.000000 -0.178253 0.983985
-0.985082 -0.147349 -0.088893
-0.798035 -0.449997 -0.400803
-0.886928 -0.306166 0.345864
-0.584279 -0.795861 -0.158817
-0.639218 -0.706968 0.302648
-0.798035 0.449997 0.400803
-0.639218 0.706968 -0.302648
-0.584279 0.795861 0.158817
0.985082 -0.147349 0.088893
0.886928 -0.306166 -0.345864
0.798035 -0.449997 0.400803
0.639218 -0.706968 -0.302648
0.584279 -0.795861 0.158817
0.798035 0.449997 -0.400803
0.584279 0.795861 -0.158817
0.639218 0.706968 0.302648
-0.147349 -0.088893 -0.985082
-0.306166 0.345864 -0.886928
-0.147349 0.088893 0.985082
-0.306166 -0.345864 0.886928
-0.886928 0.306166 -0.345864
-0.449997 -0.400803 -0.798035
-0.795861 0.158817 0.584279
-0.088893 -0.985082 -0.147349
-0.302648 -0.639218 0.706968
-0.449997 0.400803 0.798035
-0.302648 0.639218 -0.706968
-0.088893 0.985082 0.147349
0.886928 0.306166 0.345864
0.795861 0.158817 -0.584279
0.449997 -0.400803 0.798035
0.302648 -0.639218 -0.706968
0.088893 -0.985082 0.147349
0.449997 0.400803 -0.798035
0.088893 0.985082 -0.147349
0.302648 0.639218 0.706968
0.306166 -0.345864 -0.886928
0.158817 0.584279 -0.795861
0.306166 0.345864 0.886928
0.158817 -0.584279 0.795861
-0.795861 -0.158817 -0.584279
-0.400803 -0.798035 -0.449997
-0.985082 0.147349 0.088893
-0.345864 -0.886928 0.306166
-0.706968 -0.302648 0.639218
-0.400803 0.798035 0.449997
-0.706968 0.302648 -0.639218
-0.345864 0.886928 -0.306166
0.795861 -0.158817 0.584279
0.985082 0.147349 -0.088893
0.400803 -0.798035 0.449997
0.706968 -0.302648 -0.639218
0.345864 -0.886928 -0.306166
0.400803 0.798035 -0.449997
0.345864 0.886928 0.306166
0.706968 0.302648 0.639218
-0.158817 -0.584279 -0.795861
0.147349 0.088893 -0.985082
-0.158817 0.584279 0.795861
0.147349 -0.088893 0.985082
-0.983985 0.000000 -0.178253
-0.706934 -0.448278 -0.547076
-0.885187 -0.159858 0.436909
-0.436909 -0.885187 -0.159858
-0.547076 -0.706934 0.448278
-0.706934 0.448278 0.547076
-0.547076 0.706934 -0.448278
-0.436909 0.885187 0.159858
0.983985 0.000000 0.178253
0.885187 -0.159858 -0.436909
0.706934 -0.448278 0.547076
0.547076 -0.706934 -0.448278
0.436909 -0.885187 0.159858
0.706934 0.448278 -0.547076
0.436909 0.885187 -0.159858
0.547076 0.706934 0.448278
0.000000 -0.178253 -0.983985
-0.159858 0.436909 -0.885187
0.000000 0.178253 0.983985
-0.159858 -0.436909 0.885187
-0.886928 -0.306166 -0.345864
-0.639218 -0.706968 -0.302648
-0.985082 -0.147349 0.088893
-0.584279 -0.795861 0.158817
-0.798035 -0.449997 0.400803
-0.639218 0.706968 0.302648
-0.798035 0.449997 -0.400803
-0.584279 0.795861 -0.158817
0.886928 -0.306166 0.345864
0.985082 -0.147349 -0.088893
0.639218 -0.706968 0.302648
0.798035 -0.449997 -0.400803
0.584279 -0.795861 -0.158817
0.639218 0.706968 -0.302648
0.584279 0.795861 0.158817
0.798035 0.449997 0.400803
-0.306166 -0.345864 -0.886928
-0.147349 0.088893 -0.985082
-0.306166 0.345864 0.886928
-0.147349 -0.088893 0.985082
-0.985082 0.147349 -0.088893
-0.706968 -0.302648 -0.639218
-0.795861 -0.158817 0.584279
-0.345864 -0.886928 -0.306166
-0.400803 -0.798035 0.449997
-0.706968 0.302648 0.639218
-0.400803 0.798035 -0.449997
-0.345864 0.886928 0.306166
0.985082 0.147349 0.088893
0.795861 -0.158817 -0.584279
0.706968 -0.302648 0.639218
0.400803 -0.798035 -0.449997
0.345864 -0.886928 0.306166
0.706968 0.302648 -0.639218
0.345864 0.886928 -0.306166
0.400803 0.798035 0.449997
0.147349 -0.088893 -0.985082
-0.158817 0.584279 -0.795861
0.147349 0.088893 0.985082
-0.158817 -0.584279 0.795861
-0.795861 0.158817 -0.584279
-0.302648 -0.639218 -0.706968
-0.886928 0.306166 0.345864
-0.088893 -0.985082 0.147349
-0.449997 -0.400803 0.798035
-0.302648 0.639218 0.706968
-0.449997 0.400803 -0.798035
-0.088893 0.985082 -0.147349
0.795861 0.158817 0.584279
0.886928 0.306166 -0.345864
0.302648 -0.639218 0.706968
0.449997 -0.400803 -0.798035
0.088893 -0.985082 -0.147349
0.302648 0.639218 -0.706968
0.088893 0.985082 0.147349
0.449997 0.400803 0.798035
0.158817 -0.584279 -0.795861
0.306166 0.345864 -0.886928
0.158817 0.584279 0.795861
0.306166 -0.345864 0.886928
# HEXAGONS LIST # 
162 
1 161 261 21 181 241
2 162 262 22 182 242
3 163 263 23 183 243
4 164 264 24 184 244
5 165 265 25 185 245
6 166 266 26 186 246
7 167 267 27 187 247
8 168 268 28 188 248
9 169 269 29 189 249
10 170 270 30 190 250
11 171 271 31 191 251
12 172 272 32 192 252
13 173 273 33 193 253
14 174 274 34 194 254
15 175 275 35 195 255
16 176 276 36 196 256
17 177 277 37 197 257
18 178 278 38 198 258
19 179 279 39 199 259
20 180 280 40 200 260
1 241 281 41 201 81
2 242 282 42 202 82
3 243 283 43 203 83
4 244 284 44 204 84
5 245 285 45 205 85
6 246 286 46 206 86
7 247 287 47 207 87
8 248 288 48 208 88
9 249 289 49 209 89
10 250 290 50 210 90
11 251 291 51 211 91
12 252 292 52 212 92
13 253 293 53 213 93
14 254 294 54 214 94
15 255 295 55 215 95
16 256 296 56 216 96
17 257 297 57 217 97
18 258 298 58 218 98
19 259 299 59 219 99
20 260 300 60 220 100
1 81 301 61 221 161
2 82 302 62 222 162
3 83 303 63 223 163
4 84 304 64 224 164
5 85 305 65 225 165
6 86 306 66 226 166
7 87 307 67 227 167
8 88 308 68 228 168
9 89 309 69 229 169
10 90 310 70 230 170
11 91 311 71 231 171
12 92 312 72 232 172
13 93 313 73 233 173
14 94 314 74 234 174
15 95 315 75 235 175
16 96 316 76 236 176
17 97 317 77 237 177
18 98 318 78 238 178
19 99 319 79 239 179
20 100 320 80 240 180
21 261 182 22 102 101
22 262 184 24 104 102
21 101 103 23 263 181
24 264 185 25 105 104
23 103 105 25 265 183
26 266 188 28 108 106
27 267 201 41 121 107
27 107 108 28 268 187
29 269 191 31 111 109
29 109 110 30 270 189
31 271 193 33 113 111
30 110 112 32 272 190
32 112 113 33 273 192
34 274 195 35 115 114
35 275 196 36 116 115
36 276 209 49 129 116
37 277 202 42 122 117
37 117 118 38 278 197
39 279 206 46 126 119
39 119 120 40 280 199
41 281 223 63 143 121
42 282 221 61 141 122
43 283 225 65 145 123
44 284 222 62 142 124
45 285 224 64 144 125
43 123 126 46 286 203
47 287 228 68 148 127
48 288 226 66 146 128
49 289 230 70 150 129
50 290 232 72 152 130
51 291 229 69 149 131
52 292 233 73 153 132
53 293 231 71 151 133
50 130 134 54 294 210
55 295 234 74 154 135
56 296 235 75 155 136
57 297 238 78 158 137
47 127 138 58 298 207
59 299 240 80 160 139
45 125 140 60 300 205
61 301 227 67 147 141
62 302 237 77 157 142
26 106 143 63 303 186
53 133 144 64 304 213
40 120 145 65 305 200
66 306 239 79 159 146
38 118 147 67 307 198
55 135 148 68 308 215
69 309 236 76 156 149
34 114 150 70 310 194
60 140 151 71 311 220
57 137 152 72 312 217
44 124 153 73 313 204
58 138 154 74 314 218
48 128 155 75 315 208
59 139 156 76 316 219
52 132 157 77 317 212
54 134 158 78 318 214
56 136 159 79 319 216
51 131 160 80 320 211
81 201 267 167 227 301
82 202 277 177 237 302
83 203 286 246 186 303
84 204 313 93 213 304
85 205 300 260 200 305
86 206 279 179 239 306
87 207 298 258 198 307
88 208 315 95 215 308
89 209 276 176 236 309
90 210 294 254 194 310
91 211 320 100 220 311
92 212 317 97 217 312
94 214 318 98 218 314
96 216 319 99 219 316
101 102 104 105 103 0
106 108 107 121 143 0
109 111 113 112 110 0
114 115 116 129 150 0
117 122 141 147 118 0
119 126 123 145 120 0
124 142 157 132 153 0
125 144 133 151 140 0
127 148 135 154 138 0
128 146 159 136 155 0
130 152 137 158 134 0
131 149 156 139 160 0
161 221 282 242 182 261
162 222 284 244 184 262
163 223 281 241 181 263
164 224 285 245 185 264
165 225 283 243 183 265
166 226 288 248 188 266
168 228 287 247 187 268
169 229 291 251 191 269
170 230 289 249 189 270
171 231 293 253 193 271
172 232 290 250 190 272
173 233 292 252 192 273
174 234 295 255 195 274
175 235 296 256 196 275
178 238 297 257 197 278
180 240 299 259 199 280
# CENTERS COORDINATES # 
162 
-0.951057 -0.162460 -0.262866
-0.688191 -0.587785 -0.425325
-0.951057 -0.162460 0.262866
-0.525731 -0.850651 0.000000
-0.688191 -0.587785 0.425325
-0.688191 0.587785 0.425325
-0.688191 0.587785 -0.425325
-0.525731 0.850651 0.000000
0.951057 -0.162460 0.262866
0.951057 -0.162460 -0.262866
0.688191 -0.587785 0.425325
0.688191 -0.587785 -0.425325
0.525731 -0.850651 0.000000
0.688191 0.587785 -0.425325
0.525731 0.850651 0.000000
0.688191 0.587785 0.425325
-0.162460 -0.262866 -0.951057
-0.162460 0.262866 -0.951057
-0.162460 0.262866 0.951057
-0.162460 -0.262866 0.951057
-0.951057 0.162460 -0.262866
-0.587785 -0.425325 -0.688191
-0.850651 0.000000 0.525731
-0.262866 -0.951057 -0.162460
-0.425325 -0.688191 0.587785
-0.587785 0.425325 0.688191
-0.425325 0.688191 -0.587785
-0.262866 0.951057 0.162460
0.951057 0.162460 0.262866
0.850651 0.000000 -0.525731
0.587785 -0.425325 0.688191
0.425325 -0.688191 -0.587785
0.262866 -0.951057 0.162460
0.587785 0.425325 -0.688191
0.262866 0.951057 -0.162460
0.425325 0.688191 0.587785
0.162460 -0.262866 -0.951057
0.000000 0.525731 -0.850651
0.162460 0.262866 0.951057
0.000000 -0.525731 0.850651
-0.850651 0.000000 -0.525731
-0.425325 -0.688191 -0.587785
-0.951057 0.162460 0.262866
-0.262866 -0.951057 0.162460
-0.587785 -0.425325 0.688191
-0.425325 0.688191 0.587785
-0.587785 0.425325 -0.688191
-0.262866 0.951057 -0.162460
0.850651 0.000000 0.525731
0.951057 0.162460 -0.262866
0.425325 -0.688191 0.587785
0.587785 -0.425325 -0.688191
0.262866 -0.951057 -0.162460
0.425325 0.688191 -0.587785
0.262866 0.951057 0.162460
0.587785 0.425325 0.688191
0.000000 -0.525731 -0.850651
0.162460 0.262866 -0.951057
0.000000 0.525731 0.850651
0.162460 -0.262866 0.951057
-0.862668 -0.433889 -0.259892
-0.702046 -0.693780 -0.160622
-0.961938 -0.273267 0.000000
-0.702046 -0.693780 0.160622
-0.862668 -0.433889 0.259892
-0.702046 0.693780 0.160622
-0.862668 0.433889 -0.259892
-0.702046 0.693780 -0.160622
0.862668 -0.433889 0.259892
0.961938 -0.273267 0.000000
0.702046 -0.693780 0.160622
0.862668 -0.433889 -0.259892
0.702046 -0.693780 -0.160622
0.702046 0.693780 -0.160622
0.702046 0.693780 0.160622
0.862668 0.433889 0.259892
-0.433889 -0.259892 -0.862668
-0.273267 0.000000 -0.961938
-0.433889 0.259892 0.862668
-0.273267 0.000000 0.961938
-0.961938 0.273267 0.000000
-0.693780 -0.160622 -0.702046
-0.693780 -0.160622 0.702046
-0.259892 -0.862668 -0.433889
-0.259892 -0.862668 0.433889
-0.693780 0.160622 0.702046
-0.259892 0.862668 -0.433889
-0.259892 0.862668 0.433889
0.961938 0.273267 0.000000
0.693780 -0.160622 -0.702046
0.693780 -0.160622 0.702046
0.259892 -0.862668 -0.433889
0.259892 -0.862668 0.433889
0.693780 0.160622 -0.702046
0.259892 0.862668 -0.433889
0.259892 0.862668 0.433889
0.273267 0.000000 -0.961938
-0.160622 0.702046 -0.693780
0.273267 0.000000 0.961938
-0.160622 -0.702046 0.693780
-0.693780 0.160622 -0.702046
-0.160622 -0.702046 -0.693780
-0.862668 0.433889 0.259892
0.000000 -0.961938 0.273267
-0.433889 -0.259892 0.862668
-0.160622 0.702046 0.693780
-0.433889 0.259892 -0.862668
0.000000 0.961938 -0.273267
0.693780 0.160622 0.702046
0.862668 0.433889 -0.259892
0.160622 -0.702046 0.693780
0.433889 -0.259892 -0.862668
0.000000 -0.961938 -0.273267
0.160622 0.702046 -0.693780
0.000000 0.961938 0.273267
0.433889 0.259892 0.862668
0.160622 -0.702046 -0.693780
0.433889 0.259892 -0.862668
0.160622 0.702046 0.693780
0.433889 -0.259892 0.862668
-0.809017 0.309017 -0.500000
-0.309017 -0.500000 -0.809017
-0.809017 0.309017 0.500000
0.000000 -1.000000 0.000000
-0.309017 -0.500000 0.809017
-0.309017 0.500000 0.809017
-0.309017 0.500000 -0.809017
0.000000 1.000000 0.000000
0.809017 0.309017 0.500000
0.809017 0.309017 -0.500000
0.309017 -0.500000 0.809017
0.309017 -0.500000 -0.809017
0.309017 0.500000 -0.809017
0.309017 0.500000 0.809017
-0.850651 -0.525731 0.000000
-0.850651 0.525731 0.000000
0.850651 -0.525731 0.000000
0.850651 0.525731 0.000000
-0.525731 0.000000 -0.850651
-0.525731 0.000000 0.850651
0.000000 -0.850651 -0.525731
0.000000 -0.850651 0.525731
0.000000 0.850651 -0.525731
0.000000 0.850651 0.525731
0.525731 0.000000 -0.850651
0.525731 0.000000 0.850651
-0.809017 -0.309017 -0.500000
-0.500000 -0.809017 -0.309017
-1.000000 0.000000 0.000000
-0.500000 -0.809017 0.309017
-0.809017 -0.309017 0.500000
-0.500000 0.809017 0.309017
-0.500000 0.809017 -0.309017
0.809017 -0.309017 0.500000
1.000000 0.000000 0.000000
0.500000 -0.809017 0.309017
0.809017 -0.309017 -0.500000
0.500000 -0.809017 -0.309017
0.500000 0.809017 -0.309017
0.500000 0.809017 0.309017
0.000000 0.000000 -1.000000
0.000000 0.000000 1.000000
# ADJACENCE LIST # 
162 
21 41 61 63 147 149
22 42 61 62 147 148
23 43 63 65 149 151
24 44 62 64 148 150
25 45 64 65 150 151
26 46 66 103 123 152
27 47 67 68 121 153
28 48 66 68 152 153
29 49 69 70 154 155
30 50 70 72 155 157
31 51 69 71 154 156
32 52 72 73 157 158
33 53 71 73 156 158
34 54 74 110 130 159
35 55 74 75 159 160
36 56 75 76 129 160
37 57 77 78 122 161
38 58 78 107 127 161
39 59 79 80 126 162
40 60 80 105 125 162
41 67 81 121 149 1
42 77 82 122 147 2
43 83 86 123 151 3
44 84 113 124 148 4
45 85 100 125 150 5
46 79 86 123 126 6
47 87 98 127 153 7
48 88 115 128 152 8
49 76 89 129 155 9
50 90 94 130 157 10
51 91 120 131 154 11
52 92 117 132 158 12
53 93 104 124 156 13
54 94 118 130 133 14
55 95 108 128 159 15
56 96 119 134 160 16
57 97 112 132 161 17
58 98 114 127 133 18
59 99 116 134 162 19
60 100 111 125 131 20
82 101 121 147 1 21
84 102 122 148 2 22
81 103 123 149 3 23
85 104 124 150 4 24
83 105 125 151 5 25
88 106 126 152 6 26
101 107 121 127 7 27
87 108 128 153 8 28
91 109 129 154 9 29
89 110 130 155 10 30
93 111 131 156 11 31
90 112 132 157 12 32
92 113 124 158 13 33
95 114 133 159 14 34
96 115 128 160 15 35
109 116 129 134 16 36
102 117 122 132 17 37
97 118 133 161 18 38
106 119 126 134 19 39
99 120 131 162 20 40
62 63 135 147 1 2
64 135 148 2 4 61
65 135 149 1 3 61
65 135 150 4 5 62
135 151 3 5 63 64
68 103 136 152 6 8
68 81 121 136 7 21
136 153 7 8 66 67
70 71 137 154 9 11
72 137 155 9 10 69
73 137 156 11 13 69
73 137 157 10 12 70
137 158 12 13 71 72
75 110 138 159 14 15
76 138 160 15 16 74
89 129 138 16 29 75
78 82 122 139 17 22
107 139 161 17 18 77
80 86 126 140 19 26
105 140 162 19 20 79
103 136 149 21 43 67
101 139 147 22 41 77
86 105 140 151 23 45
102 113 141 148 24 42
100 104 142 150 25 44
123 140 23 26 79 83
98 108 143 153 27 48
106 115 144 152 28 46
110 138 155 29 50 76
94 112 145 157 30 52
109 120 146 154 31 49
113 117 141 158 32 53
104 111 142 156 33 51
118 130 145 30 34 90
108 114 143 159 35 54
115 119 144 160 36 55
112 118 145 161 37 58
114 127 143 27 38 87
116 120 146 162 39 60
111 125 142 25 40 85
107 121 139 41 47 82
117 122 141 42 57 84
123 136 6 43 66 81
124 142 33 44 85 93
125 140 20 45 80 83
119 126 144 46 59 88
127 139 18 47 78 101
128 143 35 48 87 95
116 129 146 49 56 91
130 138 14 50 74 89
131 142 40 51 93 100
132 145 37 52 90 97
124 141 24 53 84 92
133 143 38 54 95 98
128 144 28 55 88 96
134 146 39 56 99 109
132 141 32 57 92 102
133 145 34 58 94 97
134 144 36 59 96 106
131 146 31 60 91 99
7 21 41 47 67 101
17 22 42 57 77 102
6 23 26 43 86 103
24 33 44 53 104 113
20 25 40 45 100 105
19 26 46 59 79 106
18 27 38 47 98 107
28 35 48 55 108 115
16 29 49 56 76 109
14 30 34 50 94 110
31 40 51 60 111 120
32 37 52 57 112 117
34 38 54 58 114 118
36 39 56 59 116 119
61 62 63 64 65 0
66 67 68 81 103 0
69 70 71 72 73 0
74 75 76 89 110 0
77 78 82 101 107 0
79 80 83 86 105 0
84 92 102 113 117 0
85 93 100 104 111 0
87 95 98 108 114 0
88 96 106 115 119 0
90 94 97 112 118 0
91 99 109 116 120 0
1 2 22 41 61 82
2 4 24 42 62 84
1 3 21 43 63 81
4 5 25 44 64 85
3 5 23 45 65 83
6 8 28 46 66 88
7 8 27 48 68 87
9 11 31 49 69 91
9 10 29 50 70 89
11 13 33 51 71 93
10 12 30 52 72 90
12 13 32 53 73 92
14 15 35 54 74 95
15 16 36 55 75 96
17 18 37 58 78 97
19 20 39 60 80 99
